,topic_title,topic_url,topic_decription
0,3D,https://github.com/topics/3d,3D modeling is the process of virtually developing the surface and structure of a 3D object.
1,Ajax,https://github.com/topics/ajax,Ajax is a technique for creating interactive web applications.
2,Algorithm,https://github.com/topics/algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.
3,Amp,https://github.com/topics/amphp,Amp is a non-blocking concurrency library for PHP.
4,Android,https://github.com/topics/android,Android is an operating system built by Google designed for mobile devices.
5,Angular,https://github.com/topics/angular,Angular is an open source web application platform.
6,Ansible,https://github.com/topics/ansible,Ansible is a simple and powerful automation engine.
7,API,https://github.com/topics/api,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
8,Arduino,https://github.com/topics/arduino,Arduino is an open source hardware and software company and maker community.
9,ASP.NET,https://github.com/topics/aspnet,ASP.NET is a web framework for building modern web apps and services.
10,Atom,https://github.com/topics/atom,Atom is a open source text editor built with web technologies.
11,Awesome Lists,https://github.com/topics/awesome,An awesome list is a list of awesome things curated by the community.
12,Amazon Web Services,https://github.com/topics/aws,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.
13,Azure,https://github.com/topics/azure,Azure is a cloud computing service created by Microsoft.
14,Babel,https://github.com/topics/babel,"Babel is a compiler for writing next generation JavaScript, today."
15,Bash,https://github.com/topics/bash,Bash is a shell and command language interpreter for the GNU operating system.
16,Bitcoin,https://github.com/topics/bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
17,Bootstrap,https://github.com/topics/bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework."
18,Bot,https://github.com/topics/bot,A bot is an application that runs automated tasks over the Internet.
19,C,https://github.com/topics/c,C is a general purpose programming language that first appeared in 1972.
20,Chrome,https://github.com/topics/chrome,Chrome is a web browser from the tech company Google.
21,Chrome extension,https://github.com/topics/chrome-extension,Chrome extensions enable users to customize the Chrome browsing experience.
22,Command line interface,https://github.com/topics/cli,"A CLI, or command-line interface, is a console that helps users issue commands to a program."
23,Clojure,https://github.com/topics/clojure,"Clojure is a dynamic, general-purpose programming language."
24,Code quality,https://github.com/topics/code-quality,"Automate your code review with style, quality, security, and testâ€‘coverage checks when you need them."
25,Code review,https://github.com/topics/code-review,Ensure your code meets quality standards and ship with confidence.
26,Compiler,https://github.com/topics/compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
27,Continuous integration,https://github.com/topics/continuous-integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production."
28,COVID-19,https://github.com/topics/covid-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.
29,C++,https://github.com/topics/cpp,C++ is a general purpose and object-oriented programming language.
